ENSMUSG00000028033	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	21398403;21398408;21402163;21402163;21402163;21404932;21404932;21404932;21404932;21404932;21405793;21405793;21405793;21405793;21405793;21424049;21424049;21424049;21424049;21457404;21457404;21457404;21457404;21461551;21466245;21466383;21466383;21466383;21469470;21469470;21469470;21469470;21469470;21469470;21479374;21479374;21479374;21479374;21479374;21479374;21487223;21487223;21487223;21487223;21487223;21487223;21505300;21505300;21505300;21505300;21505300;21505300;21505684;21505684;21505684;21505684;21505684;21505684;21535061;21535061;21535061;21535061;21535061;21577644;21593524;21593524;21593524;21593524;21593524;21593524;21593524;21835883;21837694;21855845;21961181;21961181;21961181;21961181;21961181;21961181	21403125;21403125;21403125;21403125;21403125;21405058;21405058;21405058;21405058;21405058;21405924;21405924;21405924;21405924;21405924;21424157;21424157;21424157;21424157;21457624;21457624;21457624;21457624;21461607;21466409;21466409;21466409;21466409;21469564;21469564;21469564;21469564;21469564;21469564;21479469;21479469;21479469;21479469;21479469;21479469;21487333;21487333;21487333;21487333;21487333;21487333;21505425;21505425;21505425;21505425;21505425;21505425;21505859;21505859;21505859;21505859;21505859;21505859;21535187;21535187;21535187;21535187;21535187;21578023;21593614;21593614;21593614;21593614;21593614;21593614;21593614;21835916;21837792;21855902;21961665;21961581;21961581;21961581;21961942;21961581	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7689	2839
ENSMUSG00000026153	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	24011093;24011093;24011245;24011591;24011604;24011681;24014779;24014779;24014779;24014779;24014779;24014779;24020675;24020675;24020675;24020675;24020675;24021854;24021854;24021854;24021854;24021854;24021854;24024213;24024213;24024213;24024213;24024213;24024213;24024275;24024782;24024782;24024782;24024782;24024782;24024782;24024782;24026608;24026608;24026608;24026608;24026608;24026608;24026608;24028200;24028200;24028200;24028200;24028200;24028200;24028722;24030742;24030742;24030742;24030742;24030742;24032663;24032663;24032663;24032663;24032663;24044114;24044114;24044114;24044114;24044114;24046358;24046358;24046358;24046358;24046358;24049130;24049130;24049130;24051764;24053183;24053183;24053183;24053183;24053183;24054004;24054004;24054004;24054004;24054004;24054004;24055744;24055744;24055744;24055744;24055744;24055744;24057204;24057204;24057204;24057204;24057204;24057204;24057366;24057366;24057366;24057366;24057366;24057366;24067899;24067899;24067899;24067899;24067899;24085411;24085411;24085411;24085411;24085411;24085411;24086520;24086520;24086520;24086520;24086520;24086520;24098631;24098631;24100061;24100061;24100061;24100061;24100061	24012497;24012497;24012497;24012497;24012497;24012497;24014892;24014892;24014892;24014892;24014892;24014892;24020785;24020785;24020785;24020785;24020785;24022005;24022005;24022005;24022005;24022005;24022005;24024310;24024310;24024310;24024310;24024310;24024310;24024310;24024873;24024873;24024873;24024873;24024873;24024873;24024873;24026711;24026768;24026823;24026768;24026768;24026768;24026759;24028450;24030528;24029086;24029940;24029940;24029940;24029940;24030896;24030896;24030896;24030896;24030896;24032736;24032736;24032736;24032736;24032736;24044269;24044269;24044269;24044269;24044269;24046407;24046407;24046407;24046407;24046407;24049207;24049207;24049207;24053336;24053336;24053336;24053336;24053336;24053336;24054130;24054130;24054130;24054130;24054130;24054130;24055917;24055917;24055917;24055917;24055917;24055783;24057274;24057274;24057274;24057274;24057274;24057274;24057505;24057505;24057505;24057505;24057456;24057505;24067978;24067978;24067978;24067978;24067978;24085526;24085526;24085526;24085526;24085526;24085526;24086611;24086611;24086611;24086611;24086611;24086526;24098719;24098719;24100341;24100216;24100333;24100182;24100194	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7773	4581
ENSMUSG00000026141	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	24261890;24263994;24264965;24264965;24270366;24270366;24279770;24279932;24279932;24282417;24282417;24282417;24285053;24285053;24285053;24285254;24285254;24285254;24289667;24289667;24289667;24289828;24289828;24289828;24293072;24293072;24293072;24296760;24296760;24296760;24300593;24300593;24300593;24301275;24301275;24301275;24301400;24301400;24301400;24303456;24303456;24303456;24306260;24306260;24306260;24307646;24307646;24307646;24312047;24312047;24312047;24312312;24312312;24312312;24312448;24312448;24312448;24315398;24315398;24315398;24317392;24317392;24317392;24317533;24317533;24317533;24317690;24317690;24317690;24322033;24322033;24322033;24322214;24322214;24322214;24322939;24322939;24322939;24323682;24323682;24323682;24325250;24325250;24325250;24325979;24325979;24325979;24326131;24326131;24326131;24328036;24328036;24328036;24332430;24332430;24332430;24337898;24337898;24337898;24352282;24352282;24352282;24374583;24374583;24374583;24410196;24410196;24410196;24417012;24451762;24451762;24451762;24452471;24453744;24453744;24461476;24461476;24508184;24508184;24510843;24510843;24525604;24525604;24526385;24526385;24529928;24529928;24534033;24534033;24536879;24536879;24559654;24559654;24561303;24561303;24575333;24575333;24587350;24587350	24264817;24264817;24265042;24265042;24270494;24270494;24279998;24279998;24279998;24282587;24282587;24282587;24285097;24285097;24285097;24285289;24285289;24285289;24289729;24289729;24289729;24289872;24289872;24289872;24293116;24293116;24293116;24296813;24296813;24296813;24300619;24300619;24300619;24301319;24301319;24301319;24301450;24301450;24301450;24303500;24303500;24303500;24306313;24306313;24306313;24307699;24307699;24307699;24312100;24312100;24312100;24312365;24312365;24312365;24312552;24312552;24312552;24315439;24315439;24315439;24317445;24317445;24317445;24317586;24317586;24317586;24317725;24317725;24317725;24322110;24322110;24322110;24322258;24322258;24322258;24323028;24323028;24323028;24323735;24323735;24323735;24325303;24325303;24325303;24326032;24326032;24326032;24326166;24326166;24326166;24328071;24328071;24328071;24332492;24332492;24332492;24337939;24337939;24337939;24352335;24352335;24352335;24374636;24374636;24374636;24410249;24410249;24410249;24417091;24451797;24451797;24451797;24452745;24453797;24453797;24461529;24461529;24508228;24508228;24510887;24510887;24525666;24525666;24526510;24526510;24530008;24530008;24534308;24534308;24537002;24537002;24559753;24559753;24561368;24561368;24575459;24575459;24587411;24587472	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6887	7028
ENSMUSG00000041763	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	43933647;43934007;43934014;43934015;43934015;43934033;43934045;43940110;43940110;43940110;43940110;43940110;43940110;43940110;43949312;43949312;43949312;43949312;43949312;43949312;43949312;43951107;43951107;43951107;43951107;43951107;43951107;43953257;43953257;43953257;43953257;43953257;43954577;43954577;43954577;43954577;43954577;43954577;43956471;43956471;43956471;43956471;43956471;43956471;43957436;43957436;43957436;43957436;43960084;43960084;43960084;43960084;43960868;43960868;43960868;43960868;43968882;43968882;43968882;43968882;43970401;43970401;43970401;43970401;43971370;43971564;43971564;43971564;43971564;43971564;43972530;43972530;43972530;43972530;43972556;43973444;43973444;43973444;43973444;43973444;43975416;43975416;43975416;43975416;43975416;43977207;43977207;43977207;43977207;43977207;43978413;43978413;43978413;43978413;43978735;43978735;43978735;43978735;43980308;43980308;43980308;43980308;43981730;43981730;43981730;43981730;43983072;43983072;43983072;43983238;43983285;43983514;43983514;43983514;43983514;43983514;43985416;43985416;43990511;43990511;43990511;43990511;43990511;43991263;43991263;43991263;43992264;43992264;43992264;43999628;43999628;43999628;44000825;44001319;44001319;44001319;44002104;44002104;44002104	43933873;43934253;43934253;43934253;43934253;43934253;43934253;43940238;43940238;43940238;43940238;43940238;43940238;43940238;43949407;43949407;43949407;43949407;43949407;43949407;43949405;43951211;43951211;43951211;43953381;43951211;43951211;43953381;43953381;43953381;43953381;43953381;43954740;43954740;43954740;43954740;43956299;43954740;43956625;43956625;43956625;43957001;43957001;43956625;43957512;43957512;43957512;43957512;43960211;43960211;43960211;43960211;43960967;43960967;43960967;43960967;43969030;43969030;43969030;43969030;43970516;43970516;43970516;43970516;43971403;43971732;43971732;43971732;43971732;43971732;43972687;43972687;43972687;43972687;43972687;43973520;43973520;43973520;43973520;43973520;43975522;43975522;43975522;43975522;43975522;43977352;43977361;43977361;43977361;43977361;43978529;43978529;43978529;43978529;43978835;43978835;43978835;43978835;43980404;43980404;43980404;43980404;43981867;43981867;43981867;43981867;43983316;43983316;43983316;43983316;43983316;43983592;43983592;43983592;43983592;43983592;43985454;43985454;43990662;43990584;43990603;43990662;43990662;43991359;43991359;43991359;43992394;43992394;43992394;43999835;43999835;43999835;44001438;44003000;44001438;44001438;44002336;44003000;44002971	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10078	5741
ENSMUSG00000047343	1;1;1;1;1;1;1;1;1;1;1;1	44009408;44009935;44010510;44010532;44010532;44013622;44013681;44017186;44017186;44017186;44019908;44019908	44010033;44010033;44013773;44010649;44010649;44013773;44013773;44017276;44017276;44017468;44020034;44020006	-;-;-;-;-;-;-;-;-;-;-;-	4300	1568
ENSMUSG00000026049	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	44086613;44086616;44086810;44086810;44086860;44086861;44086867;44087029;44087843;44087843;44087843;44087843;44087843;44087843;44087843;44087843;44087901;44088017;44088476;44088476;44088476;44088476;44088476;44088476;44088476;44088476;44088476;44088476;44088502;44088508;44088514;44091183;44091361;44091361;44091361;44091361;44091361;44091361;44091361;44091361;44091361;44091361;44091361;44093264;44099848;44099848;44099848;44099848;44099848;44099848;44099848;44099848;44099848;44099848;44099848;44101467;44101467;44101900;44101900;44101900;44101900;44101900;44101900;44102328;44102328;44102328;44102328;44102328;44102328;44102328;44102328	44087063;44087063;44087063;44087063;44087063;44087063;44087063;44087063;44088048;44088048;44088048;44088048;44088048;44088048;44088048;44088048;44088048;44088048;44088527;44088527;44088527;44088527;44088527;44088527;44088527;44088527;44088527;44088527;44088527;44088527;44088527;44091212;44091591;44091591;44091591;44091591;44091591;44091591;44091591;44091591;44091591;44091591;44091591;44093317;44099935;44099995;44100001;44100001;44100001;44100001;44099935;44100001;44099935;44099921;44100001;44101672;44101522;44101957;44102013;44101957;44102362;44102343;44101957;44102437;44102414;44102401;44102433;44102441;44102423;44102438;44102391	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1926	722
ENSMUSG00000026047	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	44106546;44106885;44106887;44107765;44107765;44107765;44109994;44109994;44109994;44110735;44110735;44112083;44112645;44112645;44112645;44113003;44113003;44114441;44114441;44114441;44114441;44114694;44114694;44114694;44114694;44114784;44116155;44117038;44117038;44117038;44117038;44117038;44118318;44118318;44118318;44118318;44118318	44107104;44107104;44107104;44107872;44107872;44107872;44110083;44110083;44110083;44110944;44110944;44113175;44112882;44113175;44112882;44113175;44113175;44114518;44114518;44114518;44114518;44114899;44114899;44114899;44114899;44114899;44116312;44117243;44117243;44117243;44117243;44117243;44118701;44118765;44118765;44118753;44118808	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3199	1359
ENSMUSG00000041684	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	44118957;44119000;44119162;44119508;44119968;44119979;44120174;44120174;44120174;44120174;44126266;44126266;44126266;44126266;44126266;44126343;44127638;44127638;44128728;44128728;44129260;44129260;44129583;44129583;44136984;44136984;44138573;44138573;44141778;44141778;44142849;44142849	44119195;44119175;44119370;44119729;44120274;44120274;44120274;44120274;44120274;44120274;44126347;44126866;44126329;44126866;44126566;44126407;44127764;44127764;44128823;44128823;44129364;44129364;44129677;44129677;44137116;44137116;44138659;44138659;44141874;44141874;44144770;44144510	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4206	2641
ENSMUSG00000026048	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	44147744;44147847;44147847;44147909;44147932;44156935;44156937;44156937;44156937;44156937;44158144;44158144;44158144;44158144;44158144;44158805;44158805;44158805;44158805;44158830;44160977;44160977;44160977;44160977;44160977;44161810;44161810;44161810;44161810;44161810;44163877;44163877;44163877;44163877;44166809;44166809;44166809;44166809;44173338;44173338;44173912;44174162;44174162;44175839;44175839;44178174;44178174;44179147;44179147;44180531;44180531	44149522;44148150;44148150;44147965;44148137;44157112;44157112;44157112;44157112;44157112;44158255;44158335;44158259;44158259;44158259;44158891;44158891;44158891;44158891;44158891;44161109;44161037;44161037;44161037;44161037;44161953;44161953;44161844;44161953;44161953;44164084;44164084;44164084;44164084;44167217;44166998;44167882;44167882;44174031;44173579;44174031;44174375;44174375;44175983;44175983;44178374;44178374;44179231;44179231;44181260;44181260	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5864	3242
ENSMUSG00000046828	1;1;1;1;1;1;1;1;1	44204070;44206425;44210164;44210164;44211032;44218111;44218111;44218840;44218840	44206753;44206753;44211198;44210281;44211198;44218230;44218230;44218913;44218961	-;-;-;-;-;-;-;-;-	3961	1580
